name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;566;0;820;3079;1056;3079;1172;0
header;229;120;229;156;1908;156;1908;120
A;1058;201;1058;223;1074;223;1074;201
A;660;337;660;351;670;351;670;337
A;1030;608;1030;613;1041;613;1041;608
B;1054;840;1054;864;1073;864;1073;840
C;941;1087;941;1108;957;1108;957;1087
A;965;1267;965;1282;974;1282;974;1267
A;783;1309;783;1314;787;1314;787;1309
A;735;1354;735;1359;740;1359;740;1354
A;769;1357;769;1370;780;1370;780;1357
A;735;1368;735;1372;740;1372;740;1368
D;776;1401;776;1416;787;1416;787;1401
C;1048;1526;1048;1550;1067;1550;1067;1526
B;908;1841;908;1858;918;1858;918;1841
D;1042;2140;1042;2167;1062;2167;1062;2140
B;1009;2376;1009;2396;1025;2396;1025;2376
